Tarikh,Negeri,Kes Baharu,Kes Keseluruhan,Kematian Baharu,Kematian Keseluruhan,Populasi Dewasa,Peratus Populasi Dewasa,Menerima Dos Pertama,Menerima Dos Kedua,Kumpulan Keutamaan yang Berdaftar,Peratusan Vaksinasi %,Jumlah Belum Berdaftar
2020-03-13,Perlis,0,1,0,0,,,,,,,
2020-03-13,Kedah,0,5,0,0,,,,,,,
2020-03-13,Pulau Pinang,0,7,0,0,,,,,,,
2020-03-13,Perak,0,2,0,0,,,,,,,
2020-03-13,Selangor,0,105,0,0,,,,,,,
2020-03-13,Negeri Sembilan,0,11,0,0,,,,,,,
2020-03-13,Melaka,0,1,0,0,,,,,,,
2020-03-13,Johor,0,16,0,0,,,,,,,
2020-03-13,Pahang,0,2,0,0,,,,,,,
2020-03-13,Terengganu,0,0,0,0,,,,,,,
2020-03-13,Kelantan,0,3,0,0,,,,,,,
2020-03-13,Sabah,0,15,0,0,,,,,,,
2020-03-13,Sarawak,0,0,0,0,,,,,,,
2020-03-13,Kuala Lumpur,0,26,0,0,,,,,,,
2020-03-13,Putrajaya,0,1,0,0,,,,,,,
2020-03-13,Labuan,0,2,0,0,,,,,,,
2020-03-14,Perlis,0,0,0,0,,,,,,,
2020-03-14,Kedah,0,0,0,0,,,,,,,
2020-03-14,Pulau Pinang,0,0,0,0,,,,,,,
2020-03-14,Perak,0,0,0,0,,,,,,,
2020-03-14,Selangor,0,0,0,0,,,,,,,
2020-03-14,Negeri Sembilan,0,0,0,0,,,,,,,
2020-03-14,Melaka,0,0,0,0,,,,,,,
2020-03-14,Johor,0,0,0,0,,,,,,,
2020-03-14,Pahang,0,0,0,0,,,,,,,
2020-03-14,Terengganu,0,0,0,0,,,,,,,
2020-03-14,Kelantan,0,0,0,0,,,,,,,
2020-03-14,Sabah,0,0,0,0,,,,,,,
2020-03-14,Sarawak,0,0,0,0,,,,,,,
2020-03-14,Kuala Lumpur,0,0,0,0,,,,,,,
2020-03-14,Putrajaya,0,0,0,0,,,,,,,
2020-03-14,Labuan,0,0,0,0,,,,,,,
2020-03-15,Perlis,0,0,0,0,,,,,,,
2020-03-15,Kedah,0,0,0,0,,,,,,,
2020-03-15,Pulau Pinang,0,0,0,0,,,,,,,
2020-03-15,Perak,0,0,0,0,,,,,,,
2020-03-15,Selangor,0,0,0,0,,,,,,,
2020-03-15,Negeri Sembilan,0,0,0,0,,,,,,,
2020-03-15,Melaka,0,0,0,0,,,,,,,
2020-03-15,Johor,0,0,0,0,,,,,,,
2020-03-15,Pahang,0,0,0,0,,,,,,,
2020-03-15,Terengganu,0,0,0,0,,,,,,,
2020-03-15,Kelantan,0,0,0,0,,,,,,,
2020-03-15,Sabah,0,0,0,0,,,,,,,
2020-03-15,Sarawak,0,0,0,0,,,,,,,
